fips	population	density
29510	302838	502792
30007	6085	489
30013	81643	303
30029	102106	1928
30031	111876	4024
30049	68700	1939
30057	8768	229
30063	118791	4472
30081	43172	1753
30085	11059	477
30093	34993	4846
30111	160137	5993
31001	31511	5607
31019	49615	5064
31025	26159	4611
31047	23709	235
31055	566880	168971
31107	8419	763
31109	317272	37024
31111	35185	1382
31119	35392	614
31127	6958	1719
31153	184459	74627
31177	20667	5185
32003	2231647	27138
32005	48467	6739
32007	52460	304
32023	45346	24
32031	465735	7148
32510	55414	37651
33001	61022	15151
33003	48779	5138
33005	76493	10792
33009	89786	5256
33011	415247	4692
33013	151132	15999
33015	309176	43921
33017	130090	34755
33019	43144	8026
34001	265429	48324
34003	936692	399126
34005	445384	55895
34007	507078	229305
34009	92560	3727
34011	150972	31714
34013	799767	628746
34015	291408	90325
34017	676061	1447535
34019	124714	2923
34021	369811	164217
34023	829685	267614
34025	621354	132977
34027	494228	107433
34029	601651	94141
34031	503310	273056
34033	62607	19083
34035	331164	109397
34037	140799	27417
34039	558067	537714
34041	105779	29781
35001	678701	5838
35005	64689	1079
35013	217522	5656
35025	69611	1597
35031	72290	1337
35043	145179	3794
35045	125043	2312
35047	27591	594
35049	150056	7799
35053	16735	256
35055	32835	1493
36001	307117	58803
36003	46430	4569
36007	191659	27545
36011	77145	11259
36017	47536	5411
36019	80695	7785
36021	59916	9598
36023	47823	9649
36025	44527	3155
36027	293718	36939
36029	919719	8822
36031	37300	2104
36035	53591	10847
36037	57511	11789
36039	47491	7358
36041	4434	266
36043	61833	4428
36045	111755	9022
36051	63227	10116
36053	70795	10897
36055	742474	113244
36057	49455	12263
36059	1358343	476462
36063	210433	40528
36065	229577	19035
36067	461809	59641
36069	109864	16997
36071	381951	46598
36075	117898	12516
36077	59749	6014
36079	98892	43016
36083	159442	24436
36087	325695	186509
36089	108047	4087
36091	230163	28072
36093	155350	75732
36095	31097	5044
36101	95796	697
36103	1481093	163138
36105	75498	7769
36107	48560	9457
36109	102793	21692
36111	178599	15949
36113	64265	7438
36115	61197	7439
36117	90064	15047
36119	967612	225046
36121	40085	6844
37001	166436	37877
37019	136744	14978
37021	259103	38752
37025	211342	55687
37031	69524	13614
37035	158652	39308
37037	73139	10231
37039	28383	6075
37049	102912	1454
37051	332330	50912
37057	166614	29794
37059	42733	15899
37063	316739	107162
37067	379099	91039
37069	67560	132
37071	222846	60834
37077	60115	11076
37081	533670	81087
37085	134214	2191
37089	116748	30457
37093	54764	13625
37097	178435	30065
37101	202675	24159
37105	61452	23582
37109	83770	27335
37119	1093901	201265
37125	98682	13704
37127	94016	17395
37129	232274	117071
37133	197683	25423
37135	146027	35918
37139	39639	17401
